session_id,player_id,date,window_seconds,window_rank,t_start,t_end,mean_mp,peak_mp,hi_pct,mean_speed,peak_speed
2020-10-28_EXJ5qbOK_By91M2QB,EXJ5qbOK,2020-10-28,30,1,4500.0,4530.0,424.06827,1425.3875,96.34551495016612,13.082983,31.693
2020-10-28_EXJ5qbOK_By91M2QB,EXJ5qbOK,2020-10-28,30,2,4490.0,4520.0,389.425,1425.3875,82.72425249169436,11.489921,31.693
2020-10-28_EXJ5qbOK_By91M2QB,EXJ5qbOK,2020-10-28,30,3,2110.0,2140.0,382.9854,1354.3004,87.04318936877077,11.521542,23.713
2020-10-28_EXJ5qbOK_By91M2QB,EXJ5qbOK,2020-10-28,60,1,5750.0,5810.0,341.05014,1652.6511,57.07154742096506,11.068567,27.457
2020-10-28_EXJ5qbOK_By91M2QB,EXJ5qbOK,2020-10-28,60,2,2100.0,2160.0,316.2124,1354.3004,83.36106489184692,9.5887165,23.713
2020-10-28_EXJ5qbOK_By91M2QB,EXJ5qbOK,2020-10-28,60,3,4460.0,4520.0,315.70602,1425.3875,78.86855241264558,9.598108,31.693
2020-10-28_EXJ5qnOK_By91M2QB,EXJ5qnOK,2020-10-28,30,1,4100.0,4130.0,373.3967,1525.3937,94.01993355481727,10.98014,21.755
2020-10-28_EXJ5qnOK_By91M2QB,EXJ5qnOK,2020-10-28,30,2,6070.0,6100.0,369.60687,934.151,71.42857142857143,13.296179,25.644
2020-10-28_EXJ5qnOK_By91M2QB,EXJ5qnOK,2020-10-28,30,3,4110.0,4140.0,353.82516,1525.3937,94.6843853820598,10.75707,21.755
2020-10-28_EXJ5qnOK_By91M2QB,EXJ5qnOK,2020-10-28,60,1,6030.0,6090.0,318.60846,1665.2687,60.732113144758735,11.004712,25.644
2020-10-28_EXJ5qnOK_By91M2QB,EXJ5qnOK,2020-10-28,60,2,6040.0,6100.0,310.34912,959.7958,59.06821963394343,11.752721,25.644
2020-10-28_EXJ5qnOK_By91M2QB,EXJ5qnOK,2020-10-28,60,3,4080.0,4140.0,290.72623,1525.3937,89.01830282861897,9.083952,21.755
2020-10-28_EvLQ2knK_By91M2QB,EvLQ2knK,2020-10-28,30,1,5510.0,5540.0,363.72543,1183.8595,90.03322259136213,11.617964,20.009
2020-10-28_EvLQ2knK_By91M2QB,EvLQ2knK,2020-10-28,30,2,3120.0,3150.0,340.10287,1668.5626,92.35880398671097,10.643631,20.029
2020-10-28_EvLQ2knK_By91M2QB,EvLQ2knK,2020-10-28,30,3,7050.0,7080.0,336.9667,1304.1497,77.74086378737542,12.151943,22.223
2020-10-28_EvLQ2knK_By91M2QB,EvLQ2knK,2020-10-28,60,1,4840.0,4900.0,322.36218,1386.9058,85.35773710482529,9.774268,25.592
2020-10-28_EvLQ2knK_By91M2QB,EvLQ2knK,2020-10-28,60,2,5480.0,5540.0,301.2967,1183.8595,83.36106489184692,9.449681,20.009
2020-10-28_EvLQ2knK_By91M2QB,EvLQ2knK,2020-10-28,60,3,4850.0,4910.0,298.09225,1386.9058,84.19301164725458,9.310907,25.592
2020-10-28_EzaZ9vel_By91M2QB,EzaZ9vel,2020-10-28,30,1,3850.0,3880.0,381.5293,1050.9354,94.6843853820598,11.614286,22.163
2020-10-28_EzaZ9vel_By91M2QB,EzaZ9vel,2020-10-28,30,2,3840.0,3870.0,371.39706,1050.9354,92.0265780730897,11.164303,22.163
